#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.500000000000000E+003,    0.000000000000000E+000,    0.000000000000000E+000,    0.672968647400331E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.117804934529024E+003,   -0.715827594062618E+002
    0.100000000000000E-001,    0.149999753260093E+004,    0.246739907089344E-005,    0.999997532600929E+000,    0.672968647400331E-312,   -0.766253984085728E+003,   -0.246155843364242E+001,    0.000000000000000E+000,   -0.102539557580734E+003,   -0.715512485251943E+002
    0.300000000000000E-001,    0.149997779355447E+004,    0.222064455250859E-004,    0.999977793554475E+000,    0.479557297846022E-312,   -0.302316442383872E+003,   -0.246098971872120E+001,    0.000000000000000E+000,   -0.964950594637203E+002,   -0.715020310680686E+002
    0.500000000000000E-001,    0.149993831624083E+004,    0.616837591697061E-004,    0.999938316240830E+000,    0.479557297846022E-312,   -0.193647475575658E+003,   -0.252190593008533E+001,    0.000000000000000E+000,   -0.926241225231513E+002,   -0.714520379133696E+002
    0.700000000000000E-001,    0.149987910221849E+004,    0.120897781507978E-003,    0.999879102218492E+000,    0.106099792117405E-315,   -0.146299457620070E+003,   -0.261634838763852E+001,    0.000000000000000E+000,   -0.897004413768555E+002,   -0.714003976217839E+002
    0.900000000000000E-001,    0.149980015382513E+004,    0.199846174871732E-003,    0.999800153825128E+000,    0.000000000000000E+000,   -0.118591964125053E+003,   -0.274794873312193E+001,    0.000000000000000E+000,   -0.873309069475983E+002,   -0.713463935480785E+002
    0.110000000000000E+000,    0.149970147417749E+004,    0.298525822513551E-003,    0.999701474177486E+000,    0.479557297846022E-312,   -0.100168489925505E+003,   -0.288600542077212E+001,    0.000000000000000E+000,   -0.853299521578900E+002,   -0.712896754812318E+002
    0.130000000000000E+000,    0.149958306717127E+004,    0.416932828729955E-003,    0.999583067171270E+000,    0.479557297846022E-312,   -0.870064392089221E+002,   -0.299358427745936E+001,    0.000000000000000E+000,   -0.835922531361989E+002,   -0.712305865344659E+002
    0.150000000000000E+000,    0.149944493748099E+004,    0.555062519014993E-003,    0.999444937480985E+000,    0.479557297846022E-312,   -0.770981539853561E+002,   -0.318273806244568E+001,    0.000000000000000E+000,   -0.820527358510002E+002,   -0.711683036807527E+002
    0.170000000000000E+000,    0.149928709055975E+004,    0.712909440245102E-003,    0.999287090559755E+000,    0.000000000000000E+000,   -0.693629235402224E+002,   -0.338363669021371E+001,    0.000000000000000E+000,   -0.806680592017606E+002,   -0.711020886968587E+002
    0.190000000000000E+000,    0.149910953263911E+004,    0.890467360894098E-003,    0.999109532639106E+000,    0.212199564472184E-316,   -0.631589238903618E+002,   -0.359699298579220E+001,    0.000000000000000E+000,   -0.794076387570307E+002,   -0.710316977412913E+002
    0.210000000000000E+000,    0.149891227072872E+004,    0.108772927127926E-002,    0.998912270728721E+000,    0.000000000000000E+000,   -0.580378194322824E+002,   -0.382356161721954E+001,    0.000000000000000E+000,   -0.782496540703396E+002,   -0.709568722074318E+002
    0.230000000000000E+000,    0.149869531261616E+004,    0.130468738383815E-002,    0.998695312616162E+000,    0.000000000000000E+000,   -0.537955383456247E+002,   -0.401420860648723E+001,    0.000000000000000E+000,   -0.771766019953017E+002,   -0.708779755641984E+002
    0.250000000000000E+000,    0.149845866686656E+004,    0.154133313343602E-002,    0.998458666866564E+000,    0.479557297846022E-312,   -0.501830848952077E+002,   -0.431959342534326E+001,    0.000000000000000E+000,   -0.761758397388902E+002,   -0.707938021450595E+002
    0.270000000000000E+000,    0.149820234282230E+004,    0.179765717770380E-002,    0.998202342822296E+000,    0.000000000000000E+000,   -0.470975689674096E+002,   -0.457661652596007E+001,    0.000000000000000E+000,   -0.752368805626958E+002,   -0.707041408458333E+002
    0.290000000000000E+000,    0.149792635060259E+004,    0.207364939740717E-002,    0.997926350602593E+000,    0.000000000000000E+000,   -0.444335834846606E+002,   -0.483365231507504E+001,    0.000000000000000E+000,   -0.743512977928448E+002,   -0.706093409692798E+002
    0.310000000000000E+000,    0.149763070110315E+004,    0.236929889684584E-002,    0.997630701103154E+000,    0.000000000000000E+000,   -0.421142454496234E+002,   -0.510478812738200E+001,    0.000000000000000E+000,   -0.735120658634944E+002,   -0.705092226129033E+002
    0.330000000000000E+000,    0.149731540599572E+004,    0.268459400428384E-002,    0.997315405995716E+000,    0.479557297846022E-312,   -0.400914848000708E+002,   -0.539077303889582E+001,    0.000000000000000E+000,   -0.727132978907600E+002,   -0.704034945389285E+002
    0.350000000000000E+000,    0.149698047772759E+004,    0.301952227241015E-002,    0.996980477727590E+000,    0.212199564472184E-316,   -0.383760588695226E+002,   -0.569239404689457E+001,    0.000000000000000E+000,   -0.719490979058621E+002,   -0.702918500886009E+002
    0.370000000000000E+000,    0.149662592952117E+004,    0.337407047883032E-002,    0.996625929521170E+000,    0.000000000000000E+000,   -0.368428664638648E+002,   -0.601047784797614E+001,    0.000000000000000E+000,   -0.712152595806469E+002,   -0.701739664067439E+002
    0.390000000000000E+000,    0.149625177537341E+004,    0.374822462658814E-002,    0.996251775373412E+000,    0.479557297559464E-312,   -0.355044853201398E+002,   -0.630679736021717E+001,    0.000000000000000E+000,   -0.705084065347531E+002,   -0.700500018562785E+002
    0.410000000000000E+000,    0.149585803005528E+004,    0.414196994471855E-002,    0.995858030055282E+000,    0.000000000000000E+000,   -0.342999904962235E+002,   -0.657651060719497E+001,    0.000000000000000E+000,   -0.698255226772993E+002,   -0.699204531480740E+002
    0.430000000000000E+000,    0.149544470911117E+004,    0.455529088883067E-002,    0.995444709111169E+000,    0.000000000000000E+000,   -0.333102864226298E+002,   -0.689981478414714E+001,    0.000000000000000E+000,   -0.691628047426814E+002,   -0.697848306452370E+002
