#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.500000000000000E+003,    0.000000000000000E+000,    0.000000000000000E+000,    0.625289940497064E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.117804934529024E+003,   -0.150832909716451E+003
    0.100000000000000E-001,    0.149999753260093E+004,    0.246739907089344E-005,    0.999997532600929E+000,    0.625289940497064E-312,   -0.766253984085728E+003,   -0.197935098671641E+004,    0.000000000000000E+000,   -0.102539557580734E+003,   -0.111272989051322E+003
    0.300000000000000E-001,    0.149997779355447E+004,    0.222064455250859E-004,    0.999977793554475E+000,    0.542746932531468E-312,   -0.302316442383872E+003,   -0.137808562300180E+004,    0.000000000000000E+000,   -0.964950594637203E+002,   -0.837176737325242E+002
    0.500000000000000E-001,    0.149993831624083E+004,    0.616837591697061E-004,    0.999938316240830E+000,    0.542746932531468E-312,   -0.193647475575658E+003,   -0.997600861840805E+003,    0.000000000000000E+000,   -0.926241225231513E+002,   -0.637720515956695E+002
    0.700000000000000E-001,    0.149987910221849E+004,    0.120897781507978E-003,    0.999879102218492E+000,    0.106099792117405E-315,   -0.146299457620070E+003,   -0.738832640146209E+003,    0.000000000000000E+000,   -0.897004413768555E+002,   -0.490017914563993E+002
    0.900000000000000E-001,    0.149980015382513E+004,    0.199846174871732E-003,    0.999800153825128E+000,    0.000000000000000E+000,   -0.118591964125053E+003,   -0.555739762993773E+003,    0.000000000000000E+000,   -0.873309069475983E+002,   -0.378933853167807E+002
    0.110000000000000E+000,    0.149970147417749E+004,    0.298525822513551E-003,    0.999701474177486E+000,    0.542746932536409E-312,   -0.100168489925505E+003,   -0.422848337115220E+003,    0.000000000000000E+000,   -0.853299521578900E+002,   -0.294428036528346E+002
    0.130000000000000E+000,    0.149958306717127E+004,    0.416932828729955E-003,    0.999583067171270E+000,    0.542746932536409E-312,   -0.870064392089221E+002,   -0.324644704365456E+003,    0.000000000000000E+000,   -0.835922531361989E+002,   -0.229562903029880E+002
    0.150000000000000E+000,    0.149944493748099E+004,    0.555062519014993E-003,    0.999444937480985E+000,    0.542746932536409E-312,   -0.770981539853561E+002,   -0.251090557325468E+003,    0.000000000000000E+000,   -0.820527358510002E+002,   -0.179408546632548E+002
    0.170000000000000E+000,    0.149928709055975E+004,    0.712909440245102E-003,    0.999287090559755E+000,    0.000000000000000E+000,   -0.693629235402224E+002,   -0.195418012491654E+003,    0.000000000000000E+000,   -0.806680592017606E+002,   -0.140388635695860E+002
    0.190000000000000E+000,    0.149910953263911E+004,    0.890467360894098E-003,    0.999109532639106E+000,    0.212199564472184E-316,   -0.631589238903618E+002,   -0.152925786833769E+003,    0.000000000000000E+000,   -0.794076387570307E+002,   -0.109867107277436E+002
