#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.100000000000000E+002,    0.000000000000000E+000,    0.000000000000000E+000,    0.639596523149598E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.639596523154538E-312,   -0.212322433981705E+002,   -0.900051053480036E-001
    0.100000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.639596523149598E-312,   -0.152233372343732E+003,   -0.447128141532241E+001,    0.488655152617452E-312,   -0.183321794695247E+002,   -0.579477041555457E-003
    0.300000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.965344091119538E+002,   -0.287641781583649E-001,    0.488655152617452E-312,   -0.164041640408138E+002,   -0.419347838808593E-005
    0.500000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.730122833900912E+002,   -0.208056205364359E-003,    0.000000000000000E+000,   -0.149466887627967E+002,   -0.323542762976083E-007
    0.700000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.160471600739688E-005,    0.000000000000000E+000,   -0.137439110281013E+002,   -0.259954813564232E-009
    0.900000000000000E-001,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.128902829217442E-007,    0.000000000000000E+000,   -0.127008536331323E+002,   -0.214792483822353E-011
    0.110000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.106541060305048E-009,    0.212199564472184E-316,   -0.117676946840609E+002,   -0.181273331996844E-013
    0.130000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.945445518275250E-012,    0.000000000000000E+000,   -0.109150414217867E+002,   -0.150102384592832E-015
    0.150000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223621E+002,   -0.633621592953567E-013,    0.000000000000000E+000,   -0.101240507169205E+002,    0.571741691330848E-017
    0.170000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.545658019330883E-013,    0.000000000000000E+000,   -0.938186238148582E+001,    0.571741691330848E-017
    0.190000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.391877931844245E-013,    0.000000000000000E+000,   -0.867925498531731E+001,   -0.799383744081220E-017
    0.210000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521531E+002,   -0.545658019330883E-013,    0.000000000000000E+000,   -0.800934507668425E+001,    0.571741691330848E-017
    0.230000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972496E+002,   -0.545658019330883E-013,    0.000000000000000E+000,   -0.736681994874667E+001,    0.571741691330848E-017
    0.250000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.391877931844245E-013,    0.000000000000000E+000,   -0.674746179264572E+001,   -0.799383744081220E-017
    0.270000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.391877931844245E-013,    0.000000000000000E+000,   -0.614783970139918E+001,   -0.799383744081220E-017
