#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.500000000000000E+003,    0.000000000000000E+000,    0.645420127159630E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.788908692789585E+002,   -0.780354199237404E+001
    0.100000000000000E-001,    0.503141587485880E+003,    0.314158748587956E-002,    0.645420127159630E-312,   -0.273220878909181E-001,    0.988992931429927E+001,    0.000000000000000E+000,   -0.788861284829819E+002,   -0.780117794000971E+001
    0.300000000000000E-001,    0.509424638433144E+003,    0.942463843314401E-002,    0.485985537772900E-312,   -0.663471008610010E-001,    0.992181968761820E+001,    0.000000000000000E+000,   -0.788769603950036E+002,   -0.799414458418895E+001
    0.500000000000000E-001,    0.515707317311821E+003,    0.157073173118207E-001,    0.485985537772900E-312,   -0.557622758843150E-001,    0.995539523934705E+001,    0.000000000000000E+000,   -0.788684832297381E+002,   -0.818769757299995E+001
    0.700000000000000E-001,    0.521989376092505E+003,    0.219893760925051E-001,    0.106099792117405E-315,    0.107350785287928E-001,    0.998975667129858E+001,    0.000000000000000E+000,   -0.788616334240474E+002,   -0.838185054047299E+001
    0.900000000000000E-001,    0.528270566770273E+003,    0.282705667702733E-001,    0.000000000000000E+000,    0.124696163697535E+000,    0.100244561738237E+002,    0.000000000000000E+000,   -0.788572535112449E+002,   -0.857660794132886E+001
    0.110000000000000E+000,    0.534550641374472E+003,    0.345506413744723E-001,    0.485985537777840E-312,    0.273610065104320E+000,    0.100593008068242E+002,    0.000000000000000E+000,   -0.788559699485625E+002,   -0.877197011252687E+001
    0.130000000000000E+000,    0.540829351978510E+003,    0.408293519785100E-001,    0.485985537777840E-312,    0.445396914052366E+000,    0.100942516512133E+002,    0.000000000000000E+000,   -0.788581881578608E+002,   -0.896793630845103E+001
    0.150000000000000E+000,    0.547106450709643E+003,    0.471064507096427E-001,    0.485985537777840E-312,    0.630328329014535E+000,    0.101293726030531E+002,    0.000000000000000E+000,   -0.788641300421807E+002,   -0.916450669639517E+001
    0.170000000000000E+000,    0.553381689758760E+003,    0.533816897587605E-001,    0.000000000000000E+000,    0.819354414887789E+000,    0.101537884823957E+002,    0.000000000000000E+000,   -0.788739195175198E+002,   -0.936172761302077E+001
    0.190000000000000E+000,    0.559654821390171E+003,    0.596548213901707E-001,    0.212199564472184E-316,    0.100537238026803E+001,    0.101690311080436E+002,    0.000000000000000E+000,   -0.788875171311114E+002,   -0.955939004479980E+001
    0.210000000000000E+000,    0.565925597951378E+003,    0.659255979513779E-001,    0.000000000000000E+000,    0.118875221874773E+001,    0.101842326045621E+002,    0.000000000000000E+000,   -0.789047925793075E+002,   -0.975727499895785E+001
    0.230000000000000E+000,    0.572193771882861E+003,    0.721937718828606E-001,    0.000000000000000E+000,    0.136875113184734E+001,    0.101995166813411E+002,    0.000000000000000E+000,   -0.789256609488003E+002,   -0.995538175387112E+001
    0.250000000000000E+000,    0.578459095727845E+003,    0.784590957278449E-001,    0.485985537777840E-312,    0.154544406553180E+001,    0.102150440111104E+002,    0.000000000000000E+000,   -0.789500412370737E+002,   -0.101537124455159E+002
    0.270000000000000E+000,    0.584721322142073E+003,    0.847213221420735E-001,    0.000000000000000E+000,    0.171888428116879E+001,    0.102310136782109E+002,    0.000000000000000E+000,   -0.789778597022353E+002,   -0.103522727527961E+002
    0.290000000000000E+000,    0.590980203903570E+003,    0.909802039035699E-001,    0.000000000000000E+000,    0.189022304014140E+001,    0.102476676192936E+002,    0.000000000000000E+000,   -0.790090568265593E+002,   -0.105510726223042E+002
