#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.300000000000000E+003,    0.500000000000000E-001,    0.333333333333333E-001,    0.621848183512559E-312,    0.395238712351984E+001,    0.150172274976772E+005,    0.000000000000000E+000,   -0.848500241270212E+001,   -0.508624589414575E+000
    0.500000000000000E-002,    0.400004112325772E+003,    0.500020561628860E-001,    0.333347041085907E-001,    0.621848183512559E-312,   -0.918066632178051E+000,   -0.505777949799560E+002,    0.000000000000000E+000,   -0.846639293249884E+001,   -0.262469993832820E-002
    0.150000000000000E-001,    0.400037010255502E+003,    0.500185051277509E-001,    0.333456700851673E-001,    0.472810435162005E-312,   -0.422839457145786E+000,   -0.238514440005333E+000,    0.000000000000000E+000,   -0.846206743164859E+001,   -0.186523918243438E-004
    0.250000000000000E-001,    0.400102802507333E+003,    0.500514012536664E-001,    0.333676008357776E-001,    0.472810435162005E-312,   -0.132598683871254E+000,    0.208293877595099E-001,    0.000000000000000E+000,   -0.846064126510905E+001,   -0.582597603564941E-005
    0.350000000000000E-001,    0.400201481866403E+003,    0.501007409332016E-001,    0.334004939554677E-001,    0.106099792117405E-315,    0.569946391689950E-001,    0.223650729273431E-001,    0.000000000000000E+000,   -0.846110775087860E+001,   -0.803114348755776E-005
    0.450000000000000E-001,    0.400333037511409E+003,    0.501665187557045E-001,    0.334443458371363E-001,    0.000000000000000E+000,    0.190160989611501E+000,    0.224182884519987E-001,    0.000000000000000E+000,   -0.846290302328586E+001,   -0.103351127101510E-004
    0.550000000000000E-001,    0.400497455015792E+003,    0.502487275078958E-001,    0.334991516719305E-001,    0.472810435162005E-312,    0.289099431923164E+000,    0.224732476581644E-001,    0.000000000000000E+000,   -0.846568456784106E+001,   -0.126472850105415E-004
    0.650000000000000E-001,    0.400694716349318E+003,    0.503473581746592E-001,    0.335649054497728E-001,    0.472810435162005E-312,    0.366052093500871E+000,    0.225391143385876E-001,    0.000000000000000E+000,   -0.846923238196967E+001,   -0.149687624224985E-004
    0.750000000000000E-001,    0.400924799880062E+003,    0.504623999400308E-001,    0.336415999600206E-001,    0.472810435162005E-312,    0.428156935342194E+000,    0.226159402589258E-001,    0.000000000000000E+000,   -0.847339846283823E+001,   -0.173012410646031E-004
    0.850000000000000E-001,    0.401187680376769E+003,    0.505938401883846E-001,    0.337292267922564E-001,    0.000000000000000E+000,    0.479997315495423E+000,    0.227037171474888E-001,    0.000000000000000E+000,   -0.847807878925817E+001,   -0.196464253916461E-004
    0.950000000000000E-001,    0.401483329011632E+003,    0.507416645058161E-001,    0.338277763372107E-001,    0.212199564472184E-316,    0.524377041443650E+000,    0.228024348916243E-001,    0.000000000000000E+000,   -0.848319949733854E+001,   -0.220060249679061E-004
    0.105000000000000E+000,    0.401811713363446E+003,    0.509058566817231E-001,    0.339372377878154E-001,    0.000000000000000E+000,    0.563131977253789E+000,    0.229120818144136E-001,    0.000000000000000E+000,   -0.848870500008982E+001,   -0.243817550750391E-004
    0.115000000000000E+000,    0.402172797421166E+003,    0.510863987105832E-001,    0.340575991403888E-001,    0.000000000000000E+000,    0.597748696240871E+000,    0.230326446088593E-001,    0.000000000000000E+000,   -0.849455197799127E+001,   -0.267753373398768E-004
    0.125000000000000E+000,    0.402566541587857E+003,    0.512832707939285E-001,    0.341888471959523E-001,    0.472810435162005E-312,    0.628988409116242E+000,    0.231641081945879E-001,    0.000000000000000E+000,   -0.850070811152709E+001,   -0.291885003372215E-004
    0.135000000000000E+000,    0.402992902685033E+003,    0.514964513425164E-001,    0.343309675616776E-001,    0.000000000000000E+000,    0.657668121147286E+000,    0.233064556174791E-001,    0.000000000000000E+000,   -0.850714656732918E+001,   -0.316229801840033E-004
