#x,T,xh2o,S,qx,X_SLW1,Ss_SLW1,X_LBL,Ss_LBL
#[m],[K],[],[kW/m3],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
2.7,1250.11106963046,0.750111069630459,-4.66206773418987,-18.5211530534693,2.82979372090602,-15.6558936135549,1.94930990979923,3.32646629401954
2.9,1290.15501237569,0.79015501237569,-6.10234435856925,-17.498972547276,3.03839066613126,-20.762803030303,2.05288250275233,2.05538676708924
3.1,1327.08057427456,0.827080574274562,-7.64645752619844,-16.353205985726,3.23175538006217,-25.5517473118279,2.11501660847008,1.26092071877112
3.3,1360.74202700394,0.860742027003944,-9.12138315951413,-15.0686973955243,3.4238802612133,-29.9394247236051,2.17710346391733,0.30736300965323
3.5,1391.00652418837,0.891006524188368,-10.3330172112943,-13.6592810565773,3.62313910081947,-33.9064434669273,2.32197279329424,-1.9176049782885
3.7,1417.75462568398,0.917754625683981,-11.7182321208756,-12.1310158489963,3.81530498173183,-37.41460471652,2.38405964874149,-2.87116268740639
3.9,1440.88076895423,0.940880768954226,-13.0301896998606,-10.4754483862851,4.0128773644925,-40.480246461026,2.44605200364772,-4.14290371812379
4.1,1460.29368567694,0.960293685676943,-14.0793490262647,-8.70933217572849,4.2142591878138,-42.884600671484,2.52869272676586,-5.8915889793469
4.3,1475.91676193875,0.975916761938747,-14.9030163941065,-6.85801832321782,4.40590654233406,-44.7756598240469,2.59077958221311,-6.84514668846479
4.5,1487.68834059514,0.987688340595138,-15.514846858944,-4.94287787870155,4.60688737191213,-46.073476702509,2.65286643766036,-7.79870439758268
4.7,1495.56196460308,0.99556196460308,-15.9205846971668,-2.98324461868663,4.79729026309136,-46.9657258064516,2.69406867354316,-9.07077618019363
4.9,1499.50656036573,0.999506560365732,-16.1228939026983,-0.997315394599494,4.99827109266943,-47.2901800260671,2.7561555289904,-10.0243338893115
5.1,1499.50656036573,0.999506560365732,-16.122893902698,0.99731539459949,5.1975299322756,-46.9544076359999,2.79740501514371,-11.1373140111227
5.3,1495.56196460308,0.99556196460308,-15.9205846971669,2.98324461868663,5.37907687502788,-46.073476702509,2.85944462032045,-12.2499633810404
5.5,1487.68834059514,0.987688340595138,-15.5148468589439,4.94287787870151,5.58005770460596,-44.7756598240469,2.90078860701478,-13.044760181252
5.7,1475.91676193875,0.975916761938747,-14.9030163941065,6.8580183232178,5.77119859148743,-42.8949571673221,2.96282821219151,-14.1574095511697
