#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.125000000000000E+004,    0.100000000000000E+000,    0.631525924540600E-312,   -0.134613589403498E+002,   -0.105893456186875E+002,    0.631525924540600E-312,    0.103031444929002E+003,    0.203424046842324E+001
    0.100000000000000E-001,    0.124996915812042E+004,    0.100000000000000E+000,    0.631525924540600E-312,   -0.134507132247743E+002,   -0.907709563208458E+001,    0.544360170984422E-312,    0.103031348787764E+003,    0.202657407671319E+001
    0.300000000000000E-001,    0.124972246874049E+004,    0.100000000000000E+000,    0.544360170994304E-312,   -0.136901681744478E+002,   -0.115103207755115E+002,    0.544360170984422E-312,    0.103299605998339E+003,    0.215136771839697E+001
    0.500000000000000E-001,    0.124922933343328E+004,    0.100000000000000E+000,    0.544360170994304E-312,   -0.138794321787070E+002,   -0.125250319965957E+002,    0.000000000000000E+000,    0.103571976192767E+003,    0.229729818657750E+001
    0.700000000000000E-001,    0.124849023886379E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.140217517060337E+002,   -0.129080841597238E+002,    0.000000000000000E+000,    0.103847526306731E+003,    0.245201290865205E+001
    0.900000000000000E-001,    0.124750591442914E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141195161918533E+002,   -0.129843195168450E+002,    0.000000000000000E+000,    0.104125371308540E+003,    0.260965066549919E+001
    0.110000000000000E+000,    0.124627733153869E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141746679555915E+002,   -0.128971203179011E+002,    0.212199564472184E-316,    0.104404664228373E+003,    0.276721112854149E+001
    0.130000000000000E+000,    0.124480570265544E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141888148211054E+002,   -0.127126674964328E+002,    0.000000000000000E+000,    0.104684590013467E+003,    0.292300961071627E+001
    0.150000000000000E+000,    0.124309248009942E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.141633447591944E+002,   -0.124627579072738E+002,    0.000000000000000E+000,    0.104964361007930E+003,    0.307598820390419E+001
    0.170000000000000E+000,    0.124113935461445E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.140996709236685E+002,   -0.121634350203891E+002,    0.000000000000000E+000,    0.105243215673931E+003,    0.322539956653143E+001
    0.190000000000000E+000,    0.123894825369958E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.139989191075308E+002,   -0.118234087842748E+002,    0.000000000000000E+000,    0.105520416435390E+003,    0.337065912539094E+001
    0.210000000000000E+000,    0.123652133970689E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.138620842093549E+002,   -0.114479666270656E+002,    0.000000000000000E+000,    0.105795245835257E+003,    0.351127546625257E+001
    0.230000000000000E+000,    0.123386100770747E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.136902400178857E+002,   -0.110408352622162E+002,    0.000000000000000E+000,    0.106067006263192E+003,    0.364681782013988E+001
    0.250000000000000E+000,    0.123096988312782E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.134847755265775E+002,   -0.106051029314249E+002,    0.000000000000000E+000,    0.106335023985994E+003,    0.377690161277266E+001
    0.270000000000000E+000,    0.122785081915886E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.132469944517960E+002,   -0.101437334982758E+002,    0.000000000000000E+000,    0.106598651485204E+003,    0.390118338030646E+001
    0.290000000000000E+000,    0.122450689394015E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.129801487609515E+002,   -0.965996955359419E+001,    0.000000000000000E+000,    0.106857285233966E+003,    0.401936163047228E+001
    0.310000000000000E+000,    0.122094140752217E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.126832894781299E+002,   -0.915787671436504E+001,    0.000000000000000E+000,    0.107110344218486E+003,    0.413118369521727E+001
    0.330000000000000E+000,    0.121715787860955E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.123571195817326E+002,   -0.864341815418208E+001,    0.000000000000000E+000,    0.107357245504498E+003,    0.423646249669231E+001
    0.350000000000000E+000,    0.121316004108852E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.120027624745480E+002,   -0.812693663861324E+001,    0.000000000000000E+000,    0.107597423981027E+003,    0.433511436970629E+001
    0.370000000000000E+000,    0.120895184034207E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.116214977755041E+002,   -0.762940971187156E+001,    0.000000000000000E+000,    0.107830337995792E+003,    0.442724635769143E+001
    0.390000000000000E+000,    0.120453742935626E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.112146439551690E+002,   -0.719992558646671E+001,    0.000000000000000E+000,    0.108055471148287E+003,    0.451336857879426E+001
    0.410000000000000E+000,    0.119992116462177E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.107847733593841E+002,   -0.695214036539863E+001,    0.000000000000000E+000,    0.108272344435302E+003,    0.459484551813982E+001
    0.430000000000000E+000,    0.119510760183458E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.103734765781784E+002,   -0.604269604199702E+001,    0.000000000000000E+000,    0.108480895915832E+003,    0.466904503199131E+001
    0.450000000000000E+000,    0.119010149140001E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.994143662210812E+001,   -0.532358972110733E+001,    0.000000000000000E+000,    0.108681101539014E+003,    0.473321251059142E+001
    0.470000000000000E+000,    0.118490777374465E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.949022336267582E+001,   -0.467681254104422E+001,    0.000000000000000E+000,    0.108872572736397E+003,    0.478880638450918E+001
    0.490000000000000E+000,    0.117953157444080E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.902004826979888E+001,   -0.406201465279845E+001,    0.000000000000000E+000,    0.109054938002901E+003,    0.483646181554850E+001
    0.510000000000000E+000,    0.117397819914808E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.853123243938065E+001,   -0.346447315256055E+001,    0.000000000000000E+000,    0.109227830847892E+003,    0.487650362312736E+001
    0.530000000000000E+000,    0.116825312837744E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.802734309151856E+001,   -0.287920746140251E+001,    0.000000000000000E+000,    0.109390922931494E+003,    0.490914154060090E+001
    0.550000000000000E+000,    0.116236201208255E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.750871480682421E+001,   -0.230521620241824E+001,    0.000000000000000E+000,    0.109543924542519E+003,    0.493455016172598E+001
    0.570000000000000E+000,    0.115631066408393E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.697521117333939E+001,   -0.174319261685530E+001,    0.000000000000000E+000,    0.109686548472306E+003,    0.495290300110218E+001
    0.590000000000000E+000,    0.115010505633147E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.642788691878099E+001,   -0.119459649536760E+001,    0.000000000000000E+000,    0.109818517160060E+003,    0.496438747761386E+001
    0.610000000000000E+000,    0.114375131301082E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.586882905530269E+001,   -0.661336526586680E+000,    0.000000000000000E+000,    0.109939584813017E+003,    0.496921230389101E+001
