#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.500000000000000E+003,    0.000000000000000E+000,    0.651657458174335E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.788908692789585E+002,   -0.758820386860873E+002
    0.100000000000000E-001,    0.503141587485880E+003,    0.314158748587956E-002,    0.651657458174335E-312,   -0.273220878909181E-001,    0.430698025644025E-001,    0.000000000000000E+000,   -0.788861284829819E+002,   -0.758820376740869E+002
    0.300000000000000E-001,    0.509424638433144E+003,    0.942463843314401E-002,    0.546456486717409E-312,   -0.663471008610008E-001,    0.133159832824027E+000,    0.000000000000000E+000,   -0.788769603950036E+002,   -0.758828904983541E+002
    0.500000000000000E-001,    0.515707317311821E+003,    0.157073173118207E-001,    0.546456486717409E-312,   -0.557622758843154E-001,    0.228449927736026E+000,    0.000000000000000E+000,   -0.788684832297381E+002,   -0.758855352997255E+002
    0.700000000000000E-001,    0.521989376092505E+003,    0.219893760925051E-001,    0.106099792117405E-315,    0.107350785287928E-001,    0.328852497267410E+000,    0.000000000000000E+000,   -0.788616334240474E+002,   -0.758900747075591E+002
    0.900000000000000E-001,    0.528270566770273E+003,    0.282705667702733E-001,    0.000000000000000E+000,    0.124696163697535E+000,    0.434272153317939E+000,    0.000000000000000E+000,   -0.788572535112449E+002,   -0.758966095307840E+002
    0.110000000000000E+000,    0.534550641374472E+003,    0.345506413744723E-001,    0.546456486717409E-312,    0.273610065104320E+000,    0.544605921997991E+000,    0.000000000000000E+000,   -0.788559699485625E+002,   -0.759052386023090E+002
    0.130000000000000E+000,    0.540829351978510E+003,    0.408293519785100E-001,    0.546456486717409E-312,    0.445396914052367E+000,    0.659743460971491E+000,    0.000000000000000E+000,   -0.788581881578608E+002,   -0.759160586278971E+002
    0.150000000000000E+000,    0.547106450709643E+003,    0.471064507096427E-001,    0.546456486717409E-312,    0.630328329014535E+000,    0.779567282622184E+000,    0.000000000000000E+000,   -0.788641300421807E+002,   -0.759291640396089E+002
    0.170000000000000E+000,    0.553381689758760E+003,    0.533816897587605E-001,    0.000000000000000E+000,    0.819354414887789E+000,    0.902810782108927E+000,    0.000000000000000E+000,   -0.788739195175198E+002,   -0.759446473920908E+002
    0.190000000000000E+000,    0.559654821390171E+003,    0.596548213901707E-001,    0.212199564472184E-316,    0.100537238026803E+001,    0.102910761690812E+001,    0.000000000000000E+000,   -0.788875171311114E+002,   -0.759625756581761E+002
    0.210000000000000E+000,    0.565925597951378E+003,    0.659255979513779E-001,    0.000000000000000E+000,    0.118875221874773E+001,    0.115917453208380E+001,    0.000000000000000E+000,   -0.789047925793075E+002,   -0.759830078412102E+002
    0.230000000000000E+000,    0.572193771882861E+003,    0.721937718828606E-001,    0.000000000000000E+000,    0.136875113184734E+001,    0.129286565681788E+001,    0.000000000000000E+000,   -0.789256609488003E+002,   -0.760060175757502E+002
    0.250000000000000E+000,    0.578459095727845E+003,    0.784590957278449E-001,    0.546456486717409E-312,    0.154544406553180E+001,    0.143003036406616E+001,    0.000000000000000E+000,   -0.789500412370737E+002,   -0.760316755273454E+002
    0.270000000000000E+000,    0.584721322142073E+003,    0.847213221420735E-001,    0.000000000000000E+000,    0.171888428116879E+001,    0.157051347104258E+001,    0.000000000000000E+000,   -0.789778597022353E+002,   -0.760600492993539E+002
