#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.990000000000000E+000,    0.806027642188501E+003,    0.306027642188501E+000,    0.000000000000000E+000,    0.621326441156641E+001,    0.107154211636865E+002,    0.000000000000000E+000,   -0.818309233233651E+002,   -0.555500296494357E+002
    0.101000000000000E+001,    0.812003296688415E+003,    0.312003296688415E+000,    0.000000000000000E+000,    0.623857763735250E+001,    0.107847085653594E+002,    0.000000000000000E+000,   -0.819480059989866E+002,   -0.557573036071374E+002
    0.103000000000000E+001,    0.817966633832411E+003,    0.317966633832411E+000,    0.000000000000000E+000,    0.627270845834090E+001,    0.108439412566945E+002,    0.000000000000000E+000,   -0.820658028472347E+002,   -0.559657504718242E+002
    0.105000000000000E+001,    0.823917418198149E+003,    0.323917418198149E+000,    0.000000000000000E+000,    0.630664341567079E+001,    0.108930446692525E+002,    0.000000000000000E+000,   -0.821843210638848E+002,   -0.561751697423296E+002
    0.107000000000000E+001,    0.829855414858853E+003,    0.329855414858853E+000,    0.000000000000000E+000,    0.634015888701013E+001,    0.109319611557234E+002,    0.000000000000000E+000,   -0.823035238907901E+002,   -0.563853597071472E+002
    0.109000000000000E+001,    0.835780389392581E+003,    0.335780389392581E+000,    0.000000000000000E+000,    0.636940272742418E+001,    0.109606501912411E+002,    0.000000000000000E+000,   -0.824233498707642E+002,   -0.565961177831183E+002
    0.111000000000000E+001,    0.841692107891483E+003,    0.341692107891483E+000,    0.000000000000000E+000,    0.639814895266412E+001,    0.109790885837833E+002,    0.000000000000000E+000,   -0.825437423487235E+002,   -0.568072408577199E+002
    0.113000000000000E+001,    0.847590336971037E+003,    0.347590336971037E+000,    0.000000000000000E+000,    0.642053587753840E+001,    0.109872707023003E+002,    0.000000000000000E+000,   -0.826646319488785E+002,   -0.570185256351666E+002
    0.115000000000000E+001,    0.853474843779257E+003,    0.353474843779257E+000,    0.000000000000000E+000,    0.643799551052626E+001,    0.109852087336573E+002,    0.000000000000000E+000,   -0.827859110342114E+002,   -0.572297689866965E+002
    0.117000000000000E+001,    0.859345396005891E+003,    0.359345396005891E+000,    0.000000000000000E+000,    0.645136639669470E+001,    0.109729329836961E+002,    0.000000000000000E+000,   -0.829074865862191E+002,   -0.574407683056229E+002
    0.119000000000000E+001,    0.865201761891588E+003,    0.365201761891588E+000,    0.000000000000000E+000,    0.645690333570098E+001,    0.109504922447016E+002,    0.000000000000000E+000,   -0.830292355228915E+002,   -0.576513218680346E+002
    0.121000000000000E+001,    0.871043710237051E+003,    0.371043710237051E+000,    0.000000000000000E+000,    0.645905797234293E+001,    0.109179542628830E+002,    0.000000000000000E+000,   -0.831510430585444E+002,   -0.578612292004621E+002
    0.123000000000000E+001,    0.876871010412163E+003,    0.376871010412163E+000,    0.000000000000000E+000,    0.645835309303684E+001,    0.108754063577466E+002,    0.000000000000000E+000,   -0.832728404834415E+002,   -0.580702914565034E+002
    0.125000000000000E+001,    0.882683432365090E+003,    0.382683432365090E+000,    0.000000000000000E+000,    0.645727265704586E+001,    0.108229562747451E+002,    0.000000000000000E+000,   -0.833945828533188E+002,   -0.582783118054336E+002
    0.127000000000000E+001,    0.888480746631366E+003,    0.388480746631366E+000,    0.000000000000000E+000,    0.646575697213288E+001,    0.107607334005188E+002,    0.000000000000000E+000,   -0.835163301798557E+002,   -0.584850958374546E+002
    0.129000000000000E+001,    0.894262724342951E+003,    0.394262724342951E+000,    0.000000000000000E+000,    0.648687310368814E+001,    0.106888905484051E+002,    0.000000000000000E+000,   -0.836382470460485E+002,   -0.586904519928279E+002
    0.131000000000000E+001,    0.900029137237265E+003,    0.400029137237265E+000,    0.000000000000000E+000,    0.652870441166626E+001,    0.106075174044449E+002,    0.000000000000000E+000,   -0.837605656041075E+002,   -0.588941925993947E+002
    0.133000000000000E+001,    0.905779757666200E+003,    0.405779757666200E+000,    0.000000000000000E+000,    0.646861137923351E+001,    0.104989712304058E+002,    0.000000000000000E+000,   -0.838828239115709E+002,   -0.590962479373145E+002
    0.135000000000000E+001,    0.911514358605109E+003,    0.411514358605109E+000,    0.000000000000000E+000,    0.641483638383518E+001,    0.103800482557354E+002,    0.000000000000000E+000,   -0.840040649788320E+002,   -0.592959697094554E+002
    0.137000000000000E+001,    0.917232713661765E+003,    0.417232713661765E+000,    0.000000000000000E+000,    0.636051327761963E+001,    0.102508751742336E+002,    0.000000000000000E+000,   -0.841242925925526E+002,   -0.594931549549596E+002
