#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.115000000000000E+000,    0.402172797421166E+003,    0.510863987105832E-001,    0.340575991403888E-001,    0.000000000000000E+000,    0.114091361687935E+001,    0.341287535937018E+000,    0.000000000000000E+000,   -0.301123183378674E+002,   -0.249741374023558E+002
    0.125000000000000E+000,    0.402566541587857E+003,    0.512832707939285E-001,    0.341888471959523E-001,    0.490028843905255E-312,    0.115780356840424E+001,    0.374119541102911E+000,    0.000000000000000E+000,   -0.301237460361960E+002,   -0.249776237588001E+002
    0.135000000000000E+000,    0.402992902685033E+003,    0.514964513425164E-001,    0.343309675616776E-001,    0.000000000000000E+000,    0.117442266321836E+001,    0.404938195667964E+000,    0.000000000000000E+000,   -0.301353324051448E+002,   -0.249814161364226E+002
    0.145000000000000E+000,    0.403451833957395E+003,    0.517259169786975E-001,    0.344839446524650E-001,    0.000000000000000E+000,    0.118977038115526E+001,    0.433919702498629E+000,    0.000000000000000E+000,   -0.301470750595800E+002,   -0.249854959681045E+002
    0.155000000000000E+000,    0.403943285077958E+003,    0.519716425389789E-001,    0.346477616926526E-001,    0.000000000000000E+000,    0.120484309281668E+001,    0.461241450913233E+000,    0.000000000000000E+000,   -0.301589626153223E+002,   -0.249898460029721E+002
    0.165000000000000E+000,    0.404467202153568E+003,    0.522336010767839E-001,    0.348224007178560E-001,    0.490028843905255E-312,    0.122102180790878E+001,    0.486996671462052E+000,    0.000000000000000E+000,   -0.301709924916793E+002,   -0.249944512392954E+002
    0.175000000000000E+000,    0.405023527730814E+003,    0.525117638654068E-001,    0.350078425769379E-001,    0.212199564472184E-316,    0.123398094435431E+001,    0.511376607962708E+000,    0.000000000000000E+000,   -0.301831774201887E+002,   -0.249992963359153E+002
    0.185000000000000E+000,    0.405612200802326E+003,    0.528061004011632E-001,    0.352040669341088E-001,    0.000000000000000E+000,    0.124950040024931E+001,    0.534421970149455E+000,    0.000000000000000E+000,   -0.301954868460091E+002,   -0.250043690736563E+002
    0.195000000000000E+000,    0.406233156813470E+003,    0.531165784067351E-001,    0.354110522711568E-001,    0.490028843697747E-312,    0.126374156621163E+001,    0.556223195540784E+000,    0.000000000000000E+000,   -0.302079446429252E+002,   -0.250096568419441E+002
    0.205000000000000E+000,    0.406886327669421E+003,    0.534431638347105E-001,    0.356287758898070E-001,    0.000000000000000E+000,    0.128038496875318E+001,    0.576920212922686E+000,    0.000000000000000E+000,   -0.302205383165794E+002,   -0.250151473889753E+002
    0.215000000000000E+000,    0.407571641742633E+003,    0.537858208713168E-001,    0.358572139142112E-001,    0.000000000000000E+000,    0.129530807833349E+001,    0.596555549213198E+000,    0.000000000000000E+000,   -0.302332944335470E+002,   -0.250208305806188E+002
    0.225000000000000E+000,    0.408289023880697E+003,    0.541445119403485E-001,    0.360963412935657E-001,    0.000000000000000E+000,    0.131084641957344E+001,    0.615200378568844E+000,    0.000000000000000E+000,   -0.302461940150077E+002,   -0.250266962849648E+002
    0.235000000000000E+000,    0.409038395414576E+003,    0.545191977072880E-001,    0.363461318048587E-001,    0.000000000000000E+000,    0.132699815205136E+001,    0.632904411040563E+000,    0.000000000000000E+000,   -0.302592452875541E+002,   -0.250327351375146E+002
    0.245000000000000E+000,    0.409819674167237E+003,    0.549098370836185E-001,    0.366065580557457E-001,    0.000000000000000E+000,    0.134040513118574E+001,    0.649725222179805E+000,    0.000000000000000E+000,   -0.302724531196153E+002,   -0.250389380958956E+002
