#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.390000000000000E+000,    0.120453742935626E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.112146439551691E+002,   -0.989130883097911E+001,    0.000000000000000E+000,    0.108055471148287E+003,    0.109411962717939E+003
    0.410000000000000E+000,    0.119992116462177E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.107847733593841E+002,   -0.954852252141355E+001,    0.000000000000000E+000,    0.108272344435302E+003,    0.109603018732833E+003
    0.430000000000000E+000,    0.119510760183458E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.103734765781783E+002,   -0.922735254651315E+001,    0.000000000000000E+000,    0.108480895915832E+003,    0.109787550740391E+003
    0.450000000000000E+000,    0.119010149140001E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.994143662210813E+001,   -0.888399855817059E+001,    0.000000000000000E+000,    0.108681101539014E+003,    0.109965589401138E+003
    0.470000000000000E+000,    0.118490777374465E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.949022336267585E+001,   -0.851994227887300E+001,    0.000000000000000E+000,    0.108872572736397E+003,    0.110136716322252E+003
    0.490000000000000E+000,    0.117953157444080E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.902004826979891E+001,   -0.813660593606866E+001,    0.000000000000000E+000,    0.109054938002901E+003,    0.110300540693389E+003
    0.510000000000000E+000,    0.117397819914808E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.853123243938065E+001,   -0.773538924743794E+001,    0.000000000000000E+000,    0.109227830847892E+003,    0.110456698855914E+003
    0.530000000000000E+000,    0.116825312837744E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.802734309151856E+001,   -0.731768502652376E+001,    0.000000000000000E+000,    0.109390922931494E+003,    0.110604854190299E+003
    0.550000000000000E+000,    0.116236201208255E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.750871480682418E+001,   -0.688488502951247E+001,    0.000000000000000E+000,    0.109543924542519E+003,    0.110744697127114E+003
    0.570000000000000E+000,    0.115631066408393E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.697521117333939E+001,   -0.643838105801296E+001,    0.000000000000000E+000,    0.109686548472306E+003,    0.110875945187512E+003
    0.590000000000000E+000,    0.115010505633147E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.642788691878098E+001,   -0.597956349630608E+001,    0.000000000000000E+000,    0.109818517160060E+003,    0.110998343003193E+003
    0.610000000000000E+000,    0.114375131301082E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.586882905530270E+001,   -0.550981820178085E+001,    0.000000000000000E+000,    0.109939584813017E+003,    0.111111662285118E+003
    0.630000000000000E+000,    0.113725570449953E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.529914863164138E+001,   -0.503052203751847E+001,    0.000000000000000E+000,    0.110049538322228E+003,    0.111215701718020E+003
    0.650000000000000E+000,    0.113062464117899E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.471914772406192E+001,   -0.454303688589193E+001,    0.000000000000000E+000,    0.110148180743920E+003,    0.111310286758753E+003
    0.670000000000000E+000,    0.112386466710810E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.412874709026496E+001,   -0.404870140751112E+001,    0.000000000000000E+000,    0.110235320940556E+003,    0.111395269311099E+003
    0.690000000000000E+000,    0.111698245356514E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.352783432209141E+001,   -0.354881872629439E+001,    0.000000000000000E+000,    0.110310771456586E+003,    0.111470527233831E+003
    0.710000000000000E+000,    0.110998479246398E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.291384212892274E+001,   -0.304463588845051E+001,    0.000000000000000E+000,    0.110374329396164E+003,    0.111535963601903E+003
    0.730000000000000E+000,    0.110287858965128E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.228932748463992E+001,   -0.253730574237696E+001,    0.000000000000000E+000,    0.110425814389699E+003,    0.111591505557242E+003
    0.750000000000000E+000,    0.109567085809127E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.174054703670945E+001,   -0.205989863755524E+001,    0.000000000000000E+000,    0.110465783921382E+003,    0.111637356963459E+003
    0.770000000000000E+000,    0.108836871094481E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.122936917862493E+001,   -0.160126017857334E+001,    0.000000000000000E+000,    0.110495192206073E+003,    0.111674001612813E+003
    0.790000000000000E+000,    0.108097935454954E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.706417185513753E+000,   -0.114112445287429E+001,    0.000000000000000E+000,    0.110514277480282E+003,    0.111701641161277E+003
    0.810000000000000E+000,    0.107351008130808E+004,    0.100000000000000E+000,    0.000000000000000E+000,   -0.174770403084802E+000,   -0.680925190742275E+000,    0.000000000000000E+000,    0.110522890857754E+003,    0.111720260691420E+003
    0.830000000000000E+000,    0.106596826249134E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.362008013386259E+000,   -0.221984159145654E+000,    0.000000000000000E+000,    0.110520928525459E+003,    0.111729871547799E+003
    0.850000000000000E+000,    0.105836134096398E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.900074891959779E+000,    0.234459877016518E+000,    0.000000000000000E+000,    0.110508349759905E+003,    0.111730509754846E+003
    0.870000000000000E+000,    0.105069682383913E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.143502984257507E+001,    0.687239503070324E+000,    0.000000000000000E+000,    0.110485189124554E+003,    0.111722234674201E+003
    0.890000000000000E+000,    0.104298227506985E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.196502241829471E+001,    0.113525523442373E+001,    0.000000000000000E+000,    0.110451538459600E+003,    0.111705127740570E+003
    0.910000000000000E+000,    0.103522530798440E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.248980921472362E+001,    0.157747658385210E+001,    0.000000000000000E+000,    0.110407508909184E+003,    0.111679291194087E+003
    0.930000000000000E+000,    0.102743357777276E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.301000369251260E+001,    0.201294655145786E+001,    0.000000000000000E+000,    0.110353208611709E+003,    0.111644846757193E+003
    0.950000000000000E+000,    0.101961477393196E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.352508891209825E+001,    0.244079040821874E+001,    0.000000000000000E+000,    0.110288746415050E+003,    0.111601934205406E+003
    0.970000000000000E+000,    0.101177661267741E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.403363386801544E+001,    0.286023214190190E+001,    0.000000000000000E+000,    0.110214254788279E+003,    0.111550709754909E+003
    0.990000000000000E+000,    0.100392682932796E+004,    0.100000000000000E+000,    0.000000000000000E+000,    0.453689906743121E+001,    0.327062661971567E+001,    0.000000000000000E+000,    0.110129878340419E+003,    0.111491344118307E+003
    0.101000000000000E+001,    0.996073170672045E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.498760872739450E+001,    0.364432830298032E+001,    0.000000000000000E+000,    0.110036130804452E+003,    0.111424213887222E+003
    0.103000000000000E+001,    0.988223387322589E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.538501429437579E+001,    0.398365585930521E+001,    0.000000000000000E+000,    0.109933969900698E+003,    0.111350006486377E+003
    0.105000000000000E+001,    0.980385226068039E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.577387997768692E+001,    0.431547014333071E+001,    0.000000000000000E+000,    0.109824007116468E+003,    0.111269195999959E+003
    0.107000000000000E+001,    0.972566422227239E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.615784891547297E+001,    0.463880185020521E+001,    0.000000000000000E+000,    0.109706397055958E+003,    0.111181940004727E+003
    0.109000000000000E+001,    0.964774692015604E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.653444478390607E+001,    0.495283553786758E+001,    0.000000000000000E+000,    0.109581275851571E+003,    0.111088412784996E+003
    0.111000000000000E+001,    0.957017724930148E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.690126285749861E+001,    0.525687182692510E+001,    0.000000000000000E+000,    0.109448823425646E+003,    0.110988803060837E+003
    0.113000000000000E+001,    0.949303176160872E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.725737112463113E+001,    0.555030872513631E+001,    0.000000000000000E+000,    0.109309250303409E+003,    0.110883312089726E+003
    0.115000000000000E+001,    0.941638659036024E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.760209159610153E+001,    0.583263199813454E+001,    0.000000000000000E+000,    0.109162781531725E+003,    0.110772151963349E+003
    0.117000000000000E+001,    0.934031737508657E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.793612451604367E+001,    0.610341021247667E+001,    0.000000000000000E+000,    0.109009641339401E+003,    0.110655544011457E+003
    0.119000000000000E+001,    0.926489918691924E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.825960096333784E+001,    0.636229284877351E+001,    0.000000000000000E+000,    0.108850045926199E+003,    0.110533717262315E+003
    0.121000000000000E+001,    0.919020645450463E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.856969860043683E+001,    0.660901159879688E+001,    0.000000000000000E+000,    0.108684238032011E+003,    0.110406906918746E+003
    0.123000000000000E+001,    0.911631289055186E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.887014152765708E+001,    0.684338672526969E+001,    0.000000000000000E+000,    0.108512453657729E+003,    0.110275352796095E+003
    0.125000000000000E+001,    0.904329141908728E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.916140205131546E+001,    0.706534325645839E+001,    0.000000000000000E+000,    0.108334893323352E+003,    0.110139297625936E+003
    0.127000000000000E+001,    0.897121410348723E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.941270730690932E+001,    0.726032587077774E+001,    0.000000000000000E+000,    0.108152006534185E+003,    0.109999073153933E+003
    0.129000000000000E+001,    0.890015207536021E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.961262362976464E+001,    0.742352179165308E+001,    0.000000000000000E+000,    0.107964624052312E+003,    0.109855226282696E+003
    0.131000000000000E+001,    0.883017546434857E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.980470945182973E+001,    0.757708558479614E+001,    0.000000000000000E+000,    0.107773337404038E+003,    0.109708239361498E+003
    0.133000000000000E+001,    0.876135332891898E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.998367647416257E+001,    0.772062565732578E+001,    0.000000000000000E+000,    0.107578369143972E+003,    0.109558306285827E+003
    0.135000000000000E+001,    0.869375358821013E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.101504303710290E+002,    0.785387043956351E+001,    0.000000000000000E+000,    0.107379977403748E+003,    0.109405626893847E+003
    0.137000000000000E+001,    0.862744295500467E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.103049669170355E+002,    0.797663564209624E+001,    0.000000000000000E+000,    0.107178409683541E+003,    0.109250405214915E+003
    0.139000000000000E+001,    0.856248686989180E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.104490130946960E+002,    0.808880578671674E+001,    0.000000000000000E+000,    0.106973894996265E+003,    0.109092848084367E+003
    0.141000000000000E+001,    0.849894943668529E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.105814013464231E+002,    0.819032257416567E+001,    0.000000000000000E+000,    0.106766655638725E+003,    0.108933163988284E+003
    0.143000000000000E+001,    0.843689335916074E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.107018082643690E+002,    0.828117664638721E+001,    0.000000000000000E+000,    0.106556927161450E+003,    0.108771562070940E+003
    0.145000000000000E+001,    0.837637987917454E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.108103727260153E+002,    0.836140114348824E+001,    0.000000000000000E+000,    0.106344946081916E+003,    0.108608251269869E+003
    0.147000000000000E+001,    0.831746871622557E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.109066344829351E+002,    0.843106632825504E+001,    0.000000000000000E+000,    0.106130951187237E+003,    0.108443439558556E+003
    0.149000000000000E+001,    0.826021800851921E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.109918653197368E+002,    0.849027499885180E+001,    0.000000000000000E+000,    0.105915173033901E+003,    0.108277333283304E+003
    0.151000000000000E+001,    0.820468425559203E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.110659644146786E+002,    0.853915870132063E+001,    0.000000000000000E+000,    0.105697831557477E+003,    0.108110136582610E+003
    0.153000000000000E+001,    0.815092226255348E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.111289156295224E+002,    0.857787505304504E+001,    0.000000000000000E+000,    0.105479148707496E+003,    0.107942050875266E+003
    0.155000000000000E+001,    0.809898508599992E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.111817232801112E+002,    0.860660696180168E+001,    0.000000000000000E+000,    0.105259337884945E+003,    0.107773274396216E+003
    0.157000000000000E+001,    0.804892398165417E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.112252931523666E+002,    0.862556543531994E+001,    0.000000000000000E+000,    0.105038596779673E+003,    0.107604001743024E+003
    0.159000000000000E+001,    0.800078835378227E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.112609873550727E+002,    0.863499953433134E+001,    0.000000000000000E+000,    0.104817108994431E+003,    0.107434423361583E+003
    0.161000000000000E+001,    0.795462570643744E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.112569499371872E+002,    0.861598748784118E+001,    0.000000000000000E+000,    0.104595252048829E+003,    0.107264860983319E+003
    0.163000000000000E+001,    0.791048159657933E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.112485931287670E+002,    0.858923040878250E+001,    0.000000000000000E+000,    0.104373463087439E+003,    0.107095719148246E+003
    0.165000000000000E+001,    0.786839958911477E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.112342155710216E+002,    0.855494434172670E+001,    0.000000000000000E+000,    0.104151864601178E+003,    0.106927150298469E+003
    0.167000000000000E+001,    0.782842121390452E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.112126428565905E+002,    0.851305457442963E+001,    0.000000000000000E+000,    0.103930597010366E+003,    0.106759304335684E+003
    0.169000000000000E+001,    0.779058592477827E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.111828443482014E+002,    0.846351348429676E+001,    0.000000000000000E+000,    0.103709817493123E+003,    0.106592332180055E+003
    0.171000000000000E+001,    0.775493106059846E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.111441832627147E+002,    0.840628625622597E+001,    0.000000000000000E+000,    0.103489696953506E+003,    0.106426385472430E+003
    0.173000000000000E+001,    0.772149180841139E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.110969293505379E+002,    0.834134153200897E+001,    0.000000000000000E+000,    0.103270408412158E+003,    0.106261616462076E+003
    0.175000000000000E+001,    0.769030116872178E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.110408662746171E+002,    0.826864458687703E+001,    0.000000000000000E+000,    0.103052123408920E+003,    0.106098178029226E+003
    0.177000000000000E+001,    0.766138992292533E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.109760257293407E+002,    0.818815185754230E+001,    0.000000000000000E+000,    0.102835014587546E+003,    0.105936223815196E+003
    0.179000000000000E+001,    0.763478660293114E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.109023073476366E+002,    0.809980622612741E+001,    0.000000000000000E+000,    0.102619254771446E+003,    0.105775908444593E+003
    0.181000000000000E+001,    0.761051746300417E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.108195467391673E+002,    0.800353273751422E+001,    0.000000000000000E+000,    0.102405018925235E+003,    0.105617387830423E+003
    0.183000000000000E+001,    0.758860645385550E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.107274665739597E+002,    0.789923455257886E+001,    0.000000000000000E+000,    0.102192485848364E+003,    0.105460819556617E+003
    0.185000000000000E+001,    0.756907519900581E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.106258248344518E+002,    0.778678898879423E+001,    0.000000000000000E+000,    0.101981838862877E+003,    0.105306363335063E+003
    0.187000000000000E+001,    0.755194297344559E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.105145199942600E+002,    0.766604350246088E+001,    0.000000000000000E+000,    0.101773264064939E+003,    0.105154181536521E+003
    0.189000000000000E+001,    0.753722668461307E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.103931590984178E+002,    0.753681142861175E+001,    0.000000000000000E+000,    0.101566951569137E+003,    0.105004439797303E+003
    0.191000000000000E+001,    0.752494085570861E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.102609645566940E+002,    0.739886719994659E+001,    0.000000000000000E+000,    0.101363101467662E+003,    0.104857307707117E+003
    0.193000000000000E+001,    0.751509761136205E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.101173512881688E+002,    0.725194057066538E+001,    0.000000000000000E+000,    0.101161925571953E+003,    0.104712959588891E+003
    0.195000000000000E+001,    0.750770666566718E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.996115544179919E+001,    0.709570897721853E+001,    0.000000000000000E+000,    0.100963650537577E+003,    0.104571575390817E+003
    0.197000000000000E+001,    0.750277531259508E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.979070325992482E+001,    0.692978637041641E+001,    0.000000000000000E+000,    0.100768526465286E+003,    0.104433341728146E+003
    0.199000000000000E+001,    0.750030841879585E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.960343562973102E+001,    0.675370522300198E+001,    0.000000000000000E+000,    0.100576837088895E+003,    0.104298453145578E+003
    0.200000000000000E+001,    0.750000000000000E+003,    0.100000000000000E+000,    0.000000000000000E+000,    0.960933018094446E+001,    0.675599315635895E+001,    0.000000000000000E+000,    0.100576885805816E+003,    0.104298476498277E+003
