#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.290000000000000E+000,    0.590980203903570E+003,    0.909802039035699E-001,    0.000000000000000E+000,    0.189022304014140E+001,    0.252550187834236E+001,    0.000000000000000E+000,   -0.790090568265593E+002,   -0.954845306758480E+002
    0.310000000000000E+000,    0.597235493922399E+003,    0.972354939223993E-001,    0.000000000000000E+000,    0.206217089770911E+001,    0.274144265260089E+001,    0.000000000000000E+000,   -0.790436088072504E+002,   -0.955346473367766E+002
    0.330000000000000E+000,    0.603486945250423E+003,    0.103486945250423E+000,    0.517106821914120E-312,    0.222734274796514E+001,    0.296364162144430E+001,    0.000000000000000E+000,   -0.790814895612161E+002,   -0.955890343568588E+002
    0.350000000000000E+000,    0.609734311091045E+003,    0.109734311091045E+000,    0.212199564472184E-316,    0.238470603074259E+001,    0.319152205736685E+001,    0.000000000000000E+000,   -0.791225672321660E+002,   -0.956478137698011E+002
    0.370000000000000E+000,    0.615977344808961E+003,    0.115977344808961E+000,    0.000000000000000E+000,    0.254005155637553E+001,    0.342316275013491E+001,    0.000000000000000E+000,   -0.791667268679260E+002,   -0.957110977206698E+002
    0.390000000000000E+000,    0.622215799939889E+003,    0.122215799939889E+000,    0.517106821647324E-312,    0.269201184168550E+001,    0.365826425924146E+001,    0.000000000000000E+000,   -0.792139173212819E+002,   -0.957789583123546E+002
    0.410000000000000E+000,    0.628449430200303E+003,    0.128449430200303E+000,    0.000000000000000E+000,    0.284960543262448E+001,    0.389652441391664E+001,    0.000000000000000E+000,   -0.792641434443095E+002,   -0.958514616037245E+002
    0.430000000000000E+000,    0.634677989497153E+003,    0.134677989497153E+000,    0.000000000000000E+000,    0.300963455774338E+001,    0.413763841665619E+001,    0.000000000000000E+000,   -0.793174538171552E+002,   -0.959286675580772E+002
    0.450000000000000E+000,    0.640901231937583E+003,    0.140901231937583E+000,    0.000000000000000E+000,    0.316574699354629E+001,    0.438129895417110E+001,    0.000000000000000E+000,   -0.793738321411637E+002,   -0.960106299937396E+002
    0.470000000000000E+000,    0.647118911838637E+003,    0.147118911838637E+000,    0.000000000000000E+000,    0.331663415103749E+001,    0.462719631551798E+001,    0.000000000000000E+000,   -0.794332054138515E+002,   -0.960973965369639E+002
    0.490000000000000E+000,    0.653330783736961E+003,    0.153330783736961E+000,    0.000000000000000E+000,    0.346272776013604E+001,    0.487501851732539E+001,    0.000000000000000E+000,   -0.794954899216219E+002,   -0.961890085772611E+002
    0.510000000000000E+000,    0.659536602398486E+003,    0.159536602398486E+000,    0.000000000000000E+000,    0.361087259967518E+001,    0.512445143618832E+001,    0.000000000000000E+000,   -0.795606481964701E+002,   -0.962855012253165E+002
    0.530000000000000E+000,    0.665736122828120E+003,    0.165736122828120E+000,    0.000000000000000E+000,    0.375421330530946E+001,    0.537517894845598E+001,    0.000000000000000E+000,   -0.796286374243001E+002,   -0.963869032736329E+002
    0.550000000000000E+000,    0.671929100279410E+003,    0.171929100279410E+000,    0.000000000000000E+000,    0.389396679218002E+001,    0.562688307778163E+001,    0.000000000000000E+000,   -0.796993781457796E+002,   -0.964932371600602E+002
    0.570000000000000E+000,    0.678115290264210E+003,    0.178115290264210E+000,    0.000000000000000E+000,    0.403485493301050E+001,    0.587924415093085E+001,    0.000000000000000E+000,   -0.797728376716563E+002,   -0.966045189343714E+002
    0.590000000000000E+000,    0.684294448562333E+003,    0.184294448562333E+000,    0.000000000000000E+000,    0.417647588838723E+001,    0.613194096245332E+001,    0.000000000000000E+000,   -0.798490169862026E+002,   -0.967207582280662E+002
    0.610000000000000E+000,    0.690466331231190E+003,    0.190466331231190E+000,    0.000000000000000E+000,    0.431607859755467E+001,    0.638465094890699E+001,    0.000000000000000E+000,   -0.799278878218295E+002,   -0.968419582275879E+002
    0.630000000000000E+000,    0.696630694615420E+003,    0.196630694615420E+000,    0.000000000000000E+000,    0.445926266886675E+001,    0.663705037338078E+001,    0.000000000000000E+000,   -0.800094326999744E+002,   -0.969681156511605E+002
    0.650000000000000E+000,    0.702787295356512E+003,    0.202787295356512E+000,    0.000000000000000E+000,    0.458315359141227E+001,    0.688869763848635E+001,    0.000000000000000E+000,   -0.800936081401394E+002,   -0.970992202151093E+002
    0.670000000000000E+000,    0.708935890402412E+003,    0.208935890402412E+000,    0.000000000000000E+000,    0.468369830437587E+001,    0.713869313128857E+001,    0.000000000000000E+000,   -0.801801284994020E+002,   -0.972352545965600E+002
    0.690000000000000E+000,    0.715076237017113E+003,    0.215076237017113E+000,    0.000000000000000E+000,    0.479223928679759E+001,    0.738662457877355E+001,    0.000000000000000E+000,   -0.802687661777905E+002,   -0.973761836354345E+002
    0.710000000000000E+000,    0.721208092790247E+003,    0.221208092790247E+000,    0.000000000000000E+000,    0.490228503747170E+001,    0.763214341245185E+001,    0.000000000000000E+000,   -0.803595675055506E+002,   -0.975219628590135E+002
    0.730000000000000E+000,    0.727331215646646E+003,    0.227331215646646E+000,    0.000000000000000E+000,    0.501222276843498E+001,    0.787490409930580E+001,    0.000000000000000E+000,   -0.804525243556496E+002,   -0.976725408460381E+002
    0.750000000000000E+000,    0.733445363855905E+003,    0.233445363855905E+000,    0.000000000000000E+000,    0.511925319931282E+001,    0.811456420933658E+001,    0.000000000000000E+000,   -0.805475985401256E+002,   -0.978278592916142E+002
    0.770000000000000E+000,    0.739550296041922E+003,    0.239550296041922E+000,    0.000000000000000E+000,    0.522265830730730E+001,    0.835078449739540E+001,    0.000000000000000E+000,   -0.806447193789317E+002,   -0.979878530736130E+002
    0.790000000000000E+000,    0.745645771192426E+003,    0.245645771192426E+000,    0.000000000000000E+000,    0.532260597620754E+001,    0.858322899866336E+001,    0.000000000000000E+000,   -0.807438052739298E+002,   -0.981524503208472E+002
    0.810000000000000E+000,    0.751731548668497E+003,    0.251731548668497E+000,    0.000000000000000E+000,    0.541474146169221E+001,    0.881156513692521E+001,    0.000000000000000E+000,   -0.808447452893061E+002,   -0.983215724832897E+002
    0.830000000000000E+000,    0.757807388214060E+003,    0.257807388214060E+000,    0.000000000000000E+000,    0.550068953500039E+001,    0.903546384456356E+001,    0.000000000000000E+000,   -0.809474285627812E+002,   -0.984951344045753E+002
    0.850000000000000E+000,    0.763873049965373E+003,    0.263873049965373E+000,    0.000000000000000E+000,    0.558527645214033E+001,    0.925459969298698E+001,    0.000000000000000E+000,   -0.810517903644090E+002,   -0.986730443970081E+002
    0.870000000000000E+000,    0.769928294460496E+003,    0.269928294460496E+000,    0.000000000000000E+000,    0.566914193028696E+001,    0.946865103200230E+001,    0.000000000000000E+000,   -0.811577912966256E+002,   -0.988552043192607E+002
    0.890000000000000E+000,    0.775972882648746E+003,    0.275972882648746E+000,    0.000000000000000E+000,    0.575613780952117E+001,    0.967730013644921E+001,    0.000000000000000E+000,   -0.812654294011359E+002,   -0.990415096569262E+002
    0.910000000000000E+000,    0.782006575900130E+003,    0.282006575900129E+000,    0.000000000000000E+000,    0.584921100031048E+001,    0.988023335823510E+001,    0.000000000000000E+000,   -0.813747551611862E+002,   -0.992318496060417E+002
    0.930000000000000E+000,    0.788029136014769E+003,    0.288029136014769E+000,    0.000000000000000E+000,    0.595036843073744E+001,    0.100771412817366E+002,    0.000000000000000E+000,   -0.814858773528690E+002,   -0.994261071596696E+002
