#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.000000000000000E+000,    0.300000000000000E+003,    0.000000000000000E+000,    0.661294779741296E-312,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,   -0.818871635970492E+002,   -0.968704085197347E+001
    0.100000000000000E-001,    0.503141587485880E+003,    0.314158748587956E-002,    0.661294779741296E-312,   -0.273365396223792E-001,    0.677636939848467E+001,    0.000000000000000E+000,   -0.818824228010725E+002,   -0.962240560133148E+001
    0.300000000000000E-001,    0.509424638433144E+003,    0.942463843314401E-002,    0.524973545465771E-312,   -0.663925679708844E-001,    0.693895797804209E+001,    0.000000000000000E+000,   -0.818732544240596E+002,   -0.975571501132070E+001
    0.500000000000000E-001,    0.515707317311821E+003,    0.157073173118207E-001,    0.524973545465771E-312,   -0.558416071128435E-001,    0.708127530063009E+001,    0.000000000000000E+000,   -0.818647763494519E+002,   -0.989178560135893E+001
    0.700000000000000E-001,    0.521989376092505E+003,    0.219893760925051E-001,    0.106099792117405E-315,    0.106189970157849E-001,    0.721092441602513E+001,    0.000000000000000E+000,   -0.818579249571366E+002,   -0.100303619237281E+002
    0.900000000000000E-001,    0.528270566770273E+003,    0.282705667702733E-001,    0.000000000000000E+000,    0.124540410488042E+000,    0.733207702263790E+001,    0.000000000000000E+000,   -0.818535427227038E+002,   -0.101712717415620E+002
    0.110000000000000E+000,    0.534550641374472E+003,    0.345506413744723E-001,    0.524973545465771E-312,    0.273411685610275E+000,    0.744715115634128E+001,    0.000000000000000E+000,   -0.818522560449572E+002,   -0.103143909197521E+002
    0.130000000000000E+000,    0.540829351978510E+003,    0.408293519785100E-001,    0.524973545465771E-312,    0.445152922476535E+000,    0.755766372931431E+001,    0.000000000000000E+000,   -0.818544702866656E+002,   -0.104596253572401E+002
    0.150000000000000E+000,    0.547106450709643E+003,    0.471064507096427E-001,    0.524973545465771E-312,    0.630035710219807E+000,    0.766466416114105E+001,    0.000000000000000E+000,   -0.818604072911540E+002,   -0.106069015763479E+002
    0.170000000000000E+000,    0.553381689758760E+003,    0.533816897587605E-001,    0.000000000000000E+000,    0.819010524343013E+000,    0.776039722535668E+001,    0.000000000000000E+000,   -0.818701909141173E+002,   -0.107562546678346E+002
    0.190000000000000E+000,    0.559654821390171E+003,    0.596548213901707E-001,    0.212199564472184E-316,    0.100497466734216E+001,    0.784610428434046E+001,    0.000000000000000E+000,   -0.818837816498980E+002,   -0.109074585631415E+002
    0.210000000000000E+000,    0.565925597951378E+003,    0.659255979513779E-001,    0.000000000000000E+000,    0.118829783429185E+001,    0.792903004002574E+001,    0.000000000000000E+000,   -0.819010491438355E+002,   -0.110602394660109E+002
    0.230000000000000E+000,    0.572193771882861E+003,    0.721937718828606E-001,    0.000000000000000E+000,    0.136823721898353E+001,    0.800961661619036E+001,    0.000000000000000E+000,   -0.819219084256392E+002,   -0.112145482196233E+002
    0.250000000000000E+000,    0.578459095727845E+003,    0.784590957278449E-001,    0.524973545465771E-312,    0.154486776039779E+001,    0.808827703690266E+001,    0.000000000000000E+000,   -0.819462784356553E+002,   -0.113703435717861E+002
    0.270000000000000E+000,    0.584721322142073E+003,    0.847213221420735E-001,    0.000000000000000E+000,    0.171824271362703E+001,    0.816541342237795E+001,    0.000000000000000E+000,   -0.819740853747142E+002,   -0.115275918739520E+002
    0.290000000000000E+000,    0.590980203903570E+003,    0.909802039035699E-001,    0.000000000000000E+000,    0.188951333445400E+001,    0.824143292485804E+001,    0.000000000000000E+000,   -0.820052696676875E+002,   -0.116862670495737E+002
    0.310000000000000E+000,    0.597235493922399E+003,    0.972354939223993E-001,    0.000000000000000E+000,    0.206139017318002E+001,    0.831676618621954E+001,    0.000000000000000E+000,   -0.820398074542648E+002,   -0.118463508250640E+002
    0.330000000000000E+000,    0.603486945250423E+003,    0.103486945250423E+000,    0.524973545465771E-312,    0.222648429871496E+001,    0.838054876382086E+001,    0.000000000000000E+000,   -0.820776725937399E+002,   -0.120078673229980E+002
    0.350000000000000E+000,    0.609734311091045E+003,    0.109734311091045E+000,    0.212199564472184E-316,    0.238376335049021E+001,    0.843396081603373E+001,    0.000000000000000E+000,   -0.821187330957048E+002,   -0.121705830069130E+002
    0.370000000000000E+000,    0.615977344808961E+003,    0.115977344808961E+000,    0.000000000000000E+000,    0.253902100558027E+001,    0.848544169883272E+001,    0.000000000000000E+000,   -0.821628738778598E+002,   -0.123342665502889E+002
    0.390000000000000E+000,    0.622215799939889E+003,    0.122215799939889E+000,    0.524973545198976E-312,    0.269088978841468E+001,    0.853520622844348E+001,    0.000000000000000E+000,   -0.822100437201998E+002,   -0.124988820508075E+002
    0.410000000000000E+000,    0.628449430200303E+003,    0.128449430200303E+000,    0.000000000000000E+000,    0.284838825270424E+001,    0.858348645833365E+001,    0.000000000000000E+000,   -0.822602474021619E+002,   -0.126643980004761E+002
    0.430000000000000E+000,    0.634677989497153E+003,    0.134677989497153E+000,    0.000000000000000E+000,    0.300831863489711E+001,    0.863053021606758E+001,    0.000000000000000E+000,   -0.823135334314093E+002,   -0.128307875672898E+002
    0.450000000000000E+000,    0.640901231937583E+003,    0.140901231937583E+000,    0.000000000000000E+000,    0.316432871952087E+001,    0.867660212017304E+001,    0.000000000000000E+000,   -0.823698854369608E+002,   -0.129980288916084E+002
    0.470000000000000E+000,    0.647118911838637E+003,    0.147118911838637E+000,    0.000000000000000E+000,    0.331510992571715E+001,    0.872198581349700E+001,    0.000000000000000E+000,   -0.824292303441681E+002,   -0.131661054200049E+002
    0.490000000000000E+000,    0.653330783736961E+003,    0.153330783736961E+000,    0.000000000000000E+000,    0.346109399164400E+001,    0.876698696999210E+001,    0.000000000000000E+000,   -0.824914843674321E+002,   -0.133350062897950E+002
    0.510000000000000E+000,    0.659536602398486E+003,    0.159536602398486E+000,    0.000000000000000E+000,    0.360912570446304E+001,    0.881193702121759E+001,    0.000000000000000E+000,   -0.825566099669104E+002,   -0.135047267752410E+002
    0.530000000000000E+000,    0.665736122828120E+003,    0.165736122828120E+000,    0.000000000000000E+000,    0.375234970823432E+001,    0.885719779092460E+001,    0.000000000000000E+000,   -0.826245642568362E+002,   -0.136752688081129E+002
    0.550000000000000E+000,    0.671929100279410E+003,    0.171929100279410E+000,    0.000000000000000E+000,    0.389198292656950E+001,    0.890316748954141E+001,    0.000000000000000E+000,   -0.826952677063742E+002,   -0.138466415901881E+002
    0.570000000000000E+000,    0.678115290264210E+003,    0.178115290264210E+000,    0.000000000000000E+000,    0.403274724071560E+001,    0.895028899678726E+001,    0.000000000000000E+000,   -0.827686875549387E+002,   -0.140188623247511E+002
    0.590000000000000E+000,    0.684294448562333E+003,    0.184294448562333E+000,    0.000000000000000E+000,    0.417424081982317E+001,    0.899906245128108E+001,    0.000000000000000E+000,   -0.828448247156391E+002,   -0.141919571128873E+002
    0.610000000000000E+000,    0.690466331231190E+003,    0.190466331231190E+000,    0.000000000000000E+000,    0.431371261172966E+001,    0.905006691848657E+001,    0.000000000000000E+000,   -0.829236508498947E+002,   -0.143659621007918E+002
    0.630000000000000E+000,    0.696630694615420E+003,    0.196630694615420E+000,    0.000000000000000E+000,    0.445676223339891E+001,    0.910400321713063E+001,    0.000000000000000E+000,   -0.830051484083231E+002,   -0.145409250597564E+002
    0.650000000000000E+000,    0.702787295356512E+003,    0.202787295356512E+000,    0.000000000000000E+000,    0.458050905133643E+001,    0.913664919134797E+001,    0.000000000000000E+000,   -0.830892738397788E+002,   -0.147169498230204E+002
    0.670000000000000E+000,    0.708935890402412E+003,    0.208935890402412E+000,    0.000000000000000E+000,    0.468089841712887E+001,    0.913974925619019E+001,    0.000000000000000E+000,   -0.831757413082399E+002,   -0.148936182571840E+002
    0.690000000000000E+000,    0.715076237017113E+003,    0.215076237017113E+000,    0.000000000000000E+000,    0.478928012307402E+001,    0.914106081470656E+001,    0.000000000000000E+000,   -0.832643229888834E+002,   -0.150702906707407E+002
    0.710000000000000E+000,    0.721208092790247E+003,    0.221208092790247E+000,    0.000000000000000E+000,    0.489916269972926E+001,    0.914063430230760E+001,    0.000000000000000E+000,   -0.833550651333690E+002,   -0.152469318981146E+002
    0.730000000000000E+000,    0.727331215646646E+003,    0.227331215646646E+000,    0.000000000000000E+000,    0.500893338997233E+001,    0.913857942449888E+001,    0.000000000000000E+000,   -0.834479595367132E+002,   -0.154235087644169E+002
    0.750000000000000E+000,    0.733445363855905E+003,    0.233445363855905E+000,    0.000000000000000E+000,    0.511579294337155E+001,    0.913504131835544E+001,    0.000000000000000E+000,   -0.835429679336199E+002,   -0.155999907661503E+002
    0.770000000000000E+000,    0.739550296041922E+003,    0.239550296041922E+000,    0.000000000000000E+000,    0.521902336619658E+001,    0.913019152980428E+001,    0.000000000000000E+000,   -0.836400195673072E+002,   -0.157763505663702E+002
