#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.410000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.256424020173307E+002,    0.000000000000000E+000,   -0.230772049449869E+001,   -0.218189561303885E+001
    0.430000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.252451678835521E+002,    0.000000000000000E+000,   -0.178992520936893E+001,   -0.168820117016248E+001
    0.450000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.249499768191808E+002,    0.000000000000000E+000,   -0.127588228975776E+001,   -0.120115375323060E+001
    0.470000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.247544691553701E+002,    0.000000000000000E+000,   -0.764482385741040E+000,   -0.718817776069829E+000
    0.490000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.246570981333262E+002,    0.000000000000000E+000,   -0.254653685592248E+000,   -0.239294230145279E+000
    0.510000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.258825225721416E+002,   -0.246570981333262E+002,    0.000000000000000E+000,    0.254653685592248E+000,    0.239294230145269E+000
    0.530000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.259374606311861E+002,   -0.247544691553701E+002,    0.000000000000000E+000,    0.764482385741043E+000,    0.718817776069822E+000
    0.550000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.260481303805975E+002,   -0.249499768191808E+002,    0.000000000000000E+000,    0.127588228975776E+001,    0.120115375323060E+001
    0.570000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.262161521492623E+002,   -0.252451678835521E+002,    0.000000000000000E+000,    0.178992520936893E+001,    0.168820117016247E+001
    0.590000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.264440419882847E+002,   -0.256424020173307E+002,    0.000000000000000E+000,    0.230772049449869E+001,    0.218189561303885E+001
    0.610000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.267353228536518E+002,   -0.261449013517599E+002,    0.000000000000000E+000,    0.283043218656392E+001,    0.268422489215238E+001
    0.630000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.270946883737479E+002,   -0.267568202812478E+002,    0.000000000000000E+000,    0.335929853023395E+001,    0.319724576018286E+001
    0.650000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.275282354865844E+002,   -0.274833391527902E+002,    0.000000000000000E+000,    0.389565486757139E+001,    0.372310209453640E+001
    0.670000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.280437908222645E+002,   -0.283307870269698E+002,    0.000000000000000E+000,    0.444096127065738E+001,    0.426404501115291E+001
    0.690000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.286513688430464E+002,   -0.293068008025997E+002,    0.000000000000000E+000,    0.499683677112969E+001,    0.482245548267135E+001
    0.710000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.293638205519246E+002,   -0.304205309745302E+002,    0.000000000000000E+000,    0.556510280891700E+001,    0.540087018114975E+001
    0.730000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.301977655867021E+002,   -0.316829086168898E+002,    0.000000000000000E+000,    0.614783970139918E+001,    0.600201147210921E+001
    0.750000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.311749579375243E+002,   -0.331069946261588E+002,    0.000000000000000E+000,    0.674746179264572E+001,    0.662882277947414E+001
    0.770000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.323243357972495E+002,   -0.347084421088188E+002,    0.000000000000000E+000,    0.736681994874667E+001,    0.728451096245024E+001
    0.790000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.336851875521530E+002,   -0.365061182643423E+002,    0.000000000000000E+000,    0.800934507668425E+001,    0.797259796371786E+001
    0.810000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.353122075961931E+002,   -0.385229571136438E+002,    0.000000000000000E+000,    0.867925498531731E+001,    0.869698491586210E+001
    0.830000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.372838880721586E+002,   -0.407871562658862E+002,    0.000000000000000E+000,    0.938186238148582E+001,    0.946203332040210E+001
    0.850000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.397170875223620E+002,   -0.433339042823706E+002,    0.000000000000000E+000,    0.101240507169205E+002,    0.102726701780049E+002
    0.870000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.427937075976207E+002,   -0.462079627246571E+002,    0.000000000000000E+000,    0.109150414217867E+002,    0.111345276799497E+002
    0.890000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.468128627680761E+002,   -0.494677106712651E+002,    0.000000000000000E+000,    0.117676946840609E+002,    0.120541345529089E+002
    0.910000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.523020051268456E+002,   -0.531919216626186E+002,    0.000000000000000E+000,    0.127008536331323E+002,    0.130391883050147E+002
    0.930000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.602825648531695E+002,   -0.574923078553518E+002,    0.000000000000000E+000,    0.137439110281013E+002,    0.140989630205589E+002
    0.950000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.730122833900912E+002,   -0.625401405296663E+002,    0.000000000000000E+000,    0.149466887627967E+002,    0.152449680464532E+002
    0.970000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.965344091119538E+002,   -0.686323501995389E+002,    0.000000000000000E+000,    0.164041640408138E+002,    0.164921390965801E+002
    0.990000000000000E+000,    0.100000000000000E+004,    0.200000000000000E+000,    0.100000000000000E+000,    0.000000000000000E+000,   -0.152233372343731E+003,   -0.763807254672360E+002,    0.000000000000000E+000,    0.183321794695247E+002,    0.178613513652823E+002
    0.100000000000000E+001,    0.300000000000000E+003,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.000000000000000E+000,    0.212322433981705E+002,    0.193250778797420E+002
