#x,T,xh2o,xco2,S,qx,Xq_SLW1,Q_SLW1,Xq_SLW,Q_SLW,Xs_SLW1,Ss_SLW1,Xs_SLW,Ss_SLW
#[m],[K],[],[],[kW/m3],[kW/m2],#[m],[kW/m2],#[m],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
0.55,1000,0.2,0.1,-23.3526466418681,1.11278382727547,0.85661,9.34028,0.26732307468008,-5.95189087707888,0.850101013347927,-39.7756984167822,0.0481372250569069,-65.256970714232
0.57,1000,0.2,0.1,-23.7522721735784,1.56675203114301,0.88676,10.5963,0.276750034791944,-5.66891373514952,0.879935326575141,-44.4588517910034,0.0519486096156953,-62.4060550642583
0.59,1000,0.2,0.1,-24.2912387689987,2.0296773461147,0.91737,12.02278,0.28052081883669,-5.48003785576538,0.910018876281904,-50.1634826576596,0.0547965608554566,-61.1587794673949
0.61,1000,0.2,0.1,-24.9749763162736,2.50426771638227,0.94779,13.67206,0.297489347038046,-5.10312778986424,0.939232563805772,-57.5226046769603,0.0614431920388103,-58.1296815892978
0.63,1000,0.2,0.1,-25.8104990119225,2.99334703829409,0.9782,15.58828,0.316343267261775,-4.63177978427101,0.969733345397687,-67.3609347728946,0.086102850134171,-49.22057018313
0.65,1000,0.2,0.1,-26.8065732833209,3.4998860471498,1.00855,17.84893,0.325770227373639,-4.37583300756037,0.999498450767171,-84.5184453097785,0.0898972952060314,-47.7951123581432
0.67,1000,0.2,0.1,-27.9739380143262,4.02703666465756,,,0.337082579507876,-3.87678128245473,,,0.0955804930703581,-46.3696545331563
0.69,1000,0.2,0.1,-29.3255902003933,4.5781708378295,,,0.347452235630927,-3.78310086634308,,,0.102524271086906,-44.8254085560872
0.71,1000,0.2,0.1,-30.8771543761526,5.15692516525195,,,0.352165715686859,-3.68891543451115,,,0.122085143616954,-41.1429758415379
0.73,1000,0.2,0.1,-32.6473615899327,5.76725297564679,,,0.358764587765164,-3.50029206298715,,,0.125872530569262,-40.3114587769622
0.75,1000,0.2,0.1,-34.6586745562865,6.4134860408482,,,0.367248851865842,-3.31183703003657,,,0.137221986810987,-38.8860009519753
0.77,1000,0.2,0.1,-36.938111963367,7.10040883934086,,,0.381389292033639,-2.93467445627529,,,0.142900949803582,-37.8169075832352
0.79,1000,0.2,0.1,-39.5183505180762,7.83334934719229,,,0.395529732201435,-2.557511882514,,,0.148575677924444,-37.1041786707418
0.81,1000,0.2,0.1,-42.4392256176999,8.61829190581768,,,0.415326348436351,-2.08624804620749,,,0.201520044317747,-32.1150762832878
0.83,1000,0.2,0.1,-45.7498263694036,9.4620201345756,,,0.470945413096351,-0.766726138406618,,,0.226090770106736,-30.689618458301
0.85,1000,0.2,0.1,-49.5115239673863,10.372301771275,,,0.528449869778723,0.694536848219077,,,0.231761263355866,-30.3332540020543
0.87,1000,0.2,0.1,-53.8025698777061,11.358134104417,,,0.533163349834655,0.836025419183752,,,0.239320509397463,-29.9768895458075
0.89,1000,0.2,0.1,-58.7255634080957,12.4300813904565,,,0.536934133879401,0.930295020302399,,,0.271450481228049,-28.195067264574
0.91,1000,0.2,0.1,-64.4206509863553,13.6007616413015,,,0.55578805410313,1.30703674763012,,,0.32624548656823,-26.4132449833404
0.93,1000,0.2,0.1,-71.0911483423691,14.8855974140707,,,0.587839718483469,2.15563149627134,,,0.330022992153162,-26.4132449833404
0.95,1000,0.2,0.1,-79.05789862611,16.3040790593103,,,0.591610502528215,2.24990109738999,,,0.345137249364624,-26.0568805270937
0.97,1000,0.2,0.1,-88.8832425067382,17.882115144755,,,0.604808246684825,2.62714784043798,,,0.354585248198687,-25.700516070847
0.99,1000,0.2,0.1,-101.668780259833,19.6568622928277,,,0.644401479154655,3.569675513051,,,0.359307130179853,-25.700516070847
1,300,0,0,0,21.6464623220331,,,0.65100035123296,3.758298884575,,,0.375365763787548,-25.3441516146003
,,,,,,,,0.660427311344825,3.99397288737161,,,0.37914326937248,-25.3441516146003
,,,,,,,,0.685880103646858,4.70124740362158,,,0.396146279376408,-24.9877871583536
,,,,,,,,0.710390199937706,5.36130295002551,,,0.403701290546273,-24.9877871583536
,,,,,,,,0.716046376004824,5.45540421257073,,,0.434869946493698,-24.6314227021069
,,,,,,,,0.725473336116689,5.73838135450009,,,0.44148058126733,-24.6314227021069
,,,,,,,,0.729244120161435,5.83265095561873,,,0.445258086852262,-24.6314227021069
,,,,,,,,0.745269952351604,6.30425146907209,,,0.499091776309282,-24.2750582458602
,,,,,,,,0.755639608474655,6.58714444171473,,,0.55669450160777,-24.6314227021069
,,,,,,,,0.765066568586519,6.87012158364409,,,0.565193889173868,-24.6314227021069
,,,,,,,,0.770722744653638,7.0588291244548,,,0.596354075377829,-24.9877871583536
,,,,,,,,0.779207008754316,7.34189043567088,,,0.602964710151461,-24.9877871583536
,,,,,,,,0.787691272854994,7.43573919035595,,,0.619014874015692,-25.3441516146003
,,,,,,,,0.795232840944485,7.81349094912423,,,0.623736755996857,-25.3441516146003
,,,,,,,,0.802774409033977,8.09663642962702,,,0.64104750001331,-25.5817279187648
,,,,,,,,0.815029457179401,8.47396734196173,,,0.647341931030953,-25.700516070847
,,,,,,,,0.819742937235333,8.66275905205916,,,0.656781460121553,-26.0568805270937
,,,,,,,,0.829169897347197,8.94573619398852,,,0.660558965706485,-26.0568805270937
,,,,,,,,0.832940681391943,9.13461207337266,,,0.668109742004618,-26.4132449833404
,,,,,,,,0.851794601615672,9.60596007896588,,,0.683215529472616,-26.7696094395871
,,,,,,,,0.885731658018383,11.1166304368921,,,0.686993035057548,-26.7696094395871
,,,,,,,,0.894215922119061,11.5416011655065,,,0.690770540642481,-26.7696094395871
,,,,,,,,0.898929402174993,11.6830897364711,,,0.709649598823679,-27.4823383520806
,,,,,,,,0.914012538353976,12.4385932540077,,,0.719089127914278,-27.8387028083273
,,,,,,,,0.917783322398722,12.6274691333918,,,0.74551896239361,-28.9077961770674
,,,,,,,,0.943236114700756,14.0915938757658,,,0.74929223310681,-29.2641606333141
,,,,,,,,0.949834986779061,14.5167329429535,,,0.778548844467243,-30.8678006864243
,,,,,,,,0.95549116284618,14.8946530402952,,,0.783268609012542,-31.0459829145477
,,,,,,,,0.985657435204146,17.4463291362888,,,0.804027950242743,-32.4714407395345
,,,,,,,,0.989428219248892,17.8244175722039,,,0.81346324446161,-33.184169652028
,,,,,,,,0.99508439531601,19.0537941739351,,,0.819121033095545,-33.8968985645214
,,,,,,,,0.99508439531601,18.8645816174041,,,0.828556327314412,-34.6096274770148
,,,,,,,,,,,,0.832329598027613,-34.9659919332615
,,,,,,,,,,,,0.836102868740813,-35.3223563895082
,,,,,,,,,,,,0.839876139454013,-35.6787208457549
,,,,,,,,,,,,0.854964987435083,-37.4605431269885
,,,,,,,,,,,,0.860618541197286,-38.5296364957286
,,,,,,,,,,,,0.902086405196904,-45.6569256206629
,,,,,,,,,,,,0.907731489215642,-47.4387479018964
,,,,,,,,,,,,0.937845662101802,-56.3478593080642
,,,,,,,,,,,,0.949097716293692,-63.1187839767518
,,,,,,,,,,,,0.950965294727498,-64.9006062579853
,,,,,,,,,,,,0.950973764470962,-64.1878773454919
,,,,,,,,,,,,0.956593439259309,-68.1078863642057
,,,,,,,,,,,,0.958456782821383,-70.246073101686
,,,,,,,,,,,,0.958465252564847,-69.5333441891926
,,,,,,,,,,,,0.960328596126922,-71.6715309266728
,,,,,,,,,,,,0.962204644304192,-72.740624295413
,,,,,,,,,,,,0.964072222737999,-74.5224465766465
,,,,,,,,,,,,0.965927096556608,-77.3733622266203
,,,,,,,,,,,,0.965939801171805,-76.3042688578801
,,,,,,,,,,,,0.969662253424221,-80.9370067890874
,,,,,,,,,,,,0.969670723167685,-80.2242778765939
,,,,,,,,,,,,0.971534066729759,-82.3624646140742
,,,,,,,,,,,,0.973372001061442,-86.6388380890347
,,,,,,,,,,,,0.973382588240772,-85.747926948418
,,,,,,,,,,,,0.97522264000832,-89.8461181952552
,,,,,,,,,,,,0.977066926647601,-93.5879449858456
,,,,,,,,,,,,0.977079631262797,-92.5188516171055
,,,,,,,,,,,,0.978917565594479,-96.795225092066
,,,,,,,,,,,,0.978928152773809,-95.9043139514493
,,,,,,,,,,,,0.980749147618563,-101.606145251397
,,,,,,,,,,,,0.981244627611206,-99.6461407420397
,,,,,,,,,,,,0.982557437848122,-108.377069920084
,,,,,,,,,,,,0.982580729642648,-106.417065410727
,,,,,,,,,,,,0.984372080385278,-114.613447904402
,,,,,,,,,,,,0.984389019872206,-113.187990079415
,,,,,,,,,,,,0.986178253178971,-121.562554801213
,,,,,,,,,,,,0.986195192665899,-120.137096976226
,,,,,,,,,,,,0.987984425972663,-128.511661698023
,,,,,,,,,,,,0.987999248023725,-127.26438610116
,,,,,,,,,,,,0.989811773125016,-133.678946313601
