#x_SLW1,S_SLW1,#x_SLW,S_SLW,#x_LBL,S_LBL
#[m],[kW/m3],#[m],[kW/m3],#[m],[kW/m3]
0.07283,1.7005,0.05226,1.37113,0.10453,1.74227
0.18088,1.80383,0.11498,1.41237,0.14634,1.78351
0.29922,1.98466,0.18293,1.49485,0.21951,1.86598
0.4227,2.26698,0.25087,1.57732,0.26132,1.90722
0.54104,2.59866,0.31882,1.65979,0.33972,2.07216
0.65937,3.01799,0.38676,1.78351,0.39199,2.15464
0.78286,3.4387,0.44948,1.90722,0.46516,2.36082
0.90119,3.85757,0.51742,2.07216,0.50697,2.4433
1.0221,4.19709,0.58014,2.23711,0.58014,2.60825
1.14301,4.37808,0.64808,2.4433,0.63763,2.7732
1.26135,4.37638,0.64808,2.4433,0.70557,2.97938
1.37969,4.10068,0.7108,2.64948,0.75784,3.14433
1.49802,3.54019,0.77352,2.85567,0.83101,3.35052
1.52889,3.54757,0.82578,3.02062,0.88328,3.51546
1.62151,2.63418,0.90418,3.26804,0.93031,3.63918
1.73984,1.4108,0.98258,3.51546,0.98258,3.76289
1.86333,-0.08384,1.0453,3.72165,1.02439,3.8866
1.98166,-1.75008,1.10801,3.92784,1.07143,3.96907
2.1,-3.58362,1.17596,4.05155,1.13415,4.09278
2.22348,-5.35566,1.2439,4.17526,1.20732,4.17526
2.34182,-7.01636,1.31707,4.21649,1.29094,4.21649
2.46016,-8.45933,1.39024,4.17526,1.34321,4.17526
2.5785,-9.54617,1.45819,4.09278,1.4216,4.01031
2.70198,-10.11081,1.51045,3.8866,1.47909,3.8866
2.82031,-10.06868,1.58885,3.5567,1.55226,3.51546
2.9438,-9.26861,1.65679,3.10309,1.60453,3.2268
,,1.71429,2.64948,1.65157,2.93814
,,1.777,2.07216,1.68815,2.60825
,,1.81882,1.57732,1.71951,2.31959
,,1.86063,1.12371,1.7561,1.98969
,,1.89199,0.62887,1.79268,1.61856
,,1.9338,0.13402,1.81882,1.3299
,,1.95993,-0.36082,1.84495,1.04124
,,1.99129,-0.85567,1.86585,0.75258
,,2.02787,-1.35052,1.89721,0.29897
,,2.05923,-1.84536,1.9338,-0.1134
,,2.09059,-2.38144,1.96516,-0.56701
,,2.11672,-2.87629,1.99129,-0.97938
,,2.14286,-3.3299,2.01742,-1.39175
,,2.17422,-3.90722,2.04878,-1.84536
,,2.20035,-4.48454,2.08014,-2.34021
,,2.22648,-4.89691,2.1115,-2.79381
,,2.25261,-5.43299,2.13763,-3.20619
,,2.28397,-6.01031,2.16899,-3.78351
,,2.3101,-6.46392,2.20035,-4.23711
,,2.33624,-7,2.22648,-4.69072
,,2.36237,-7.49485,2.25261,-5.06186
,,2.3885,-7.94845,2.27352,-5.47423
,,2.41986,-8.4433,2.29443,-5.84536
,,2.44599,-8.93814,2.32056,-6.25773
,,2.47213,-9.43299,2.34146,-6.54639
,,2.50348,-9.96907,2.37282,-7
,,2.54007,-10.50515,2.40418,-7.53608
,,2.57666,-10.91753,2.43554,-7.94845
,,2.61324,-11.45361,2.45122,-8.23711
,,2.65505,-11.94845,2.47735,-8.60825
,,2.70732,-12.4433,2.50348,-8.89691
,,2.77003,-12.85567,2.55575,-9.63918
,,2.84321,-13.10309,2.52962,-9.30928
,,2.91638,-13.02062,2.58711,-10.01031
,,2.97909,-12.64948,2.61847,-10.25773
,,,,2.66028,-10.6701
,,,,2.69686,-10.95876
,,,,2.74913,-11.24742
,,,,2.80662,-11.41237
,,,,2.85366,-11.53608
,,,,2.90592,-11.41237
,,,,2.95819,-11.12371
